,mapping_framework,mapping_framework_version,capability_group,capability_id,capability_description,mapping_type,attack_object_id,attack_object_name,attack_version,technology_domain,score_category,score_value,related_score,references,comments,organization,creation_date,last_update
788,veris,1.4.1,action.malware,action.malware.variety.RAT,Remote Access Trojan.  Parent of 'Backdoor' and 'Trojan',related-to,T1543.003,Windows Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
789,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.003,Windows Service,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
790,veris,1.4.1,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550,Use Alternate Authentication Material,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
791,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1543.004,Launch Daemon,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
792,veris,1.4.1,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.001,Application Access Token,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
793,veris,1.4.1,action.hacking,action.hacking.variety.Pass-the-hash,Pass-the-hash,related-to,T1550.002,Pass the Hash,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
794,veris,1.4.1,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.002,Pass the Hash,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
795,veris,1.4.1,action.hacking,action.hacking.variety.Use of stolen creds,Use of stolen or default authentication credentials (including credential stuffing),related-to,T1550.003,Pass the Ticket,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
796,veris,1.4.1,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1546,Event Triggered Execution,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
797,veris,1.4.1,action.malware,action.malware.variety.Backdoor or C2,"Malware creates a remote control capability, but it's unclear if it's a backdoor for hacking or C2 for malware. Parent of 'C2' and 'Backdoor'.",related-to,T1546,Event Triggered Execution,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
798,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546,Event Triggered Execution,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
799,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.001,Change Default File Association,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
800,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.002,Screensaver,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
801,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.003,Windows Management Instrumentation Event Subscription,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
802,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.004,Unix Shell Configuration Modification,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
803,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.005,Trap,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
804,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.006,LC_LOAD_DYLIB Addition,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
805,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.007,Netsh Helper DLL,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
806,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.008,Accessibility Features,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
807,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.009,AppCert DLLs,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
808,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.010,AppInit DLLs,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
809,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.011,Application Shimming,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
810,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.012,Image File Execution Options Injection,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
811,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.013,PowerShell Profile,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
812,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.014,Emond,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
813,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Alter behavior,Influence or alter human behavior,related-to,T1546.015,Component Object Model Hijacking,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
814,veris,1.4.1,attribute.integrity,attribute.integrity.variety.Software installation,Software installation or code modification,related-to,T1546.016,Installer Packages,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
815,veris,1.4.1,action.hacking,action.hacking.variety.Session replay,Session replay. Child of 'Exploit vuln'.,related-to,T1550.004,Web Session Cookie,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
816,veris,1.4.1,action.malware,action.malware.variety.Backdoor,Malware creates a backdoor capability for hacking. Child of 'RAT' when combined with 'Trojan'. Child of 'Backdoor or C2'.,related-to,T1547,Boot or Logon Autostart Execution,19.1,enterprise,,,,[],,,01/23/2025,06/05/2026
